"ID","Category","Sentence","Tibetan Translation","Context/Usage"
"25","Politeness & Courtesies","Excuse me, I have a question.","དགོངས་པ་མ་ཚོམས། ང་ལ་དྲི་བ་ཅིག་ཡོད།","Politely interrupting to ask for information."
"26","Basic Needs & Navigation","Can you help me?","ང་ལ་རོགས་པ་གནང་ཐུབ་ཀྱི་རེད་པས།","Asking for assistance."
"27","Basic Needs & Navigation","I need help.","ང་ལ་རོགས་པ་དགོས་ཀྱི་འདུག","Urgent request for assistance."
"28","Basic Needs & Navigation","Where is the restroom?","གསང་སྤྱོད་ག་པར་ཡོད་རེད།","Asking for the location of the toilet/bathroom."
"29","Basic Needs & Navigation","How much does this cost?","འདི་ལ་གོང་ག་ཚོད་རེད།","Asking for the price of an item."
"30","Basic Needs & Navigation","I would like some water.","ང་ལ་ཆུ་ཏོག་ཙམ་དགོས་ཀྱི་འདུག","Politely ordering or requesting a drink."
"31","Basic Needs & Navigation","I am hungry.","ང་གྲོད་ཁོག་ལྟོགས་ཀྱི་འདུག","Stating that you need food."
"32","Basic Needs & Navigation","I am thirsty.","ང་ཁ་སྐོམ་གྱི་འདུག","Stating that you need a drink."
"33","Basic Needs & Navigation","I am tired.","ང་ཐང་ཆད་སོང་།","Stating that you need rest."
"34","Basic Needs & Navigation","What time is it?","ཆུ་ཚོད་ག་ཚོད་རེད།","Asking for the current time."
"35","Basic Needs & Navigation","I need to go now.","ང་ད་ལྟ་འགྲོ་དགོས་ཀྱི་འདུག","Indicating that you have to leave."
"36","Farewells","Goodbye.","ག་ལེར་ཕེབས།","A standard way to say farewell."
"37","Farewells","See you later.","རྗེས་མ་མཇལ་ཡོང་།","A casual farewell indicating future contact."
"38","Farewells","Have a nice day.","ཉིན་གཅིག་སྤྲོ་པོ་ཡོང་བར་སྨོན།","A polite wish when leaving someone."
"39","Small Talk & Everyday Expressions","What are you doing?","ཁྱེད་རང་ག་རེ་གནང་གི་ཡོད།","Asking about someone's current activity."
"40","Small Talk & Everyday Expressions","Let's go.","འགྲོ་དོ།","Suggesting movement or departure."
"41","Small Talk & Everyday Expressions","I like this.","ང་འདི་ལ་དགའ་པོ་ཡོད།","Expressing preference or enjoyment."
"42","Small Talk & Everyday Expressions","I don't like this.","ང་འདི་ལ་དགའ་པོ་མེད།","Expressing dislike."
"43","Small Talk & Everyday Expressions","What is this?","འདི་ག་རེ་རེད།","Asking to identify an object."
"44","Small Talk & Everyday Expressions","Where are we going?","ང་ཚོ་ག་པར་འགྲོ་གི་ཡིན།","Asking for the destination."
"45","Small Talk & Everyday Expressions","It is very nice today.","དེ་རིང་གནམ་གཤིས་ཡག་པོ་འདུག","Making small talk about good weather."
"46","Small Talk & Everyday Expressions","Call me later.","ང་ལ་རྗེས་མ་ཁ་པར་བཏང་རོགས་གནང་།","Requesting a phone call in the future."
"47","Small Talk & Everyday Expressions","I am ready.","ང་གྲ་སྒྲིག་ཨང་གསར་ཡིན།","Indicating preparedness to do something."
"48","Small Talk & Everyday Expressions","Is everything okay?","ཚང་མ་བདེ་པོ་རེད་པས།","Checking on someone's situation or well-being."
"49","Small Talk & Everyday Expressions","I agree.","ང་མོས་མཐུན་ཡོད།","Confirming you share the same opinion."
"50","Small Talk & Everyday Expressions","That sounds good.","དེ་ཡག་པོ་འདུག","Expressing approval of an idea or plan."
